,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
189,Allisha Gray,DAL,G,2019,34,1035,189,0.438,4.9,1.022,15.8,0.492,0.172,0.643,0.14,0.97,0.336,3
190,Chelsea Gray,LAS,G,2019,34,1108,190,0.159,1.4,1.699,23.8,0.314,0.396,0.203,0.076,0.7,0.29,5
191,Reshanda Gray,NYL,F,2019,34,519,191,0.413,13.5,0.312,18.5,0.813,0.173,0.614,0.0,1.0,0.013,0
192,Brittney Griner,PHO,C,2019,31,1018,192,0.261,6.0,1.432,28.4,0.742,0.253,0.818,0.333,1.0,0.006,6
193,Marie Gulich,ATL,C,2019,31,349,193,0.204,10.5,0.481,19.0,0.37,0.398,0.71,0.08,1.0,0.231,0
194,Megan Gustafson,DAL,C,2019,25,238,194,0.364,9.4,0.404,14.3,0.782,0.055,0.692,0.0,1.0,0.164,2
195,Dearica Hamby,LVA,F,2019,34,842,195,0.356,10.1,0.87,20.2,0.741,0.059,0.742,0.057,0.941,0.183,0
196,Isabelle Harrison,DAL,F,2019,31,794,196,0.278,10.2,0.689,18.5,0.593,0.382,0.718,0.0,0.0,0.025,0
197,Bria Hartley,NYL,G,2019,24,545,197,0.314,3.7,1.405,23.2,0.4,0.253,0.527,0.178,0.75,0.348,5
198,Tianna Hawkins,WAS,F,2019,31,477,198,0.182,12.2,0.648,26.1,0.46799999999999997,0.096,0.713,0.176,0.939,0.414,6
199,Tiffany Hayes,ATL,G,2019,29,817,199,0.34,2.7,1.564,27.1,0.5,0.187,0.378,0.256,0.861,0.313,5
200,Natisha Hiedeman,CON,G,2019,20,205,200,0.414,3.7,1.836,17.2,0.431,0.08600000000000001,0.0,0.286,0.769,0.483,3
201,Myisha Hines-Allen,WAS,F,2019,27,211,201,0.174,14.7,0.741,20.6,0.637,0.13,0.474,0.125,0.833,0.232,0
202,Bria Holmes,CON,G,2019,34,529,202,0.301,2.1,0.802,20.4,0.549,0.124,0.632,0.175,0.9,0.326,4
203,Natasha Howard,SEA,F,2019,34,1066,203,0.306,10.1,0.972,29.4,0.5880000000000001,0.21100000000000002,0.579,0.096,0.906,0.201,6
204,Briann January,PHO,G,2019,32,852,204,0.236,0.8,0.958,14.2,0.186,0.362,0.225,0.171,0.903,0.451,3
205,Marine Johannes,NYL,0,2019,19,345,205,0.173,2.9,1.465,17.8,0.22699999999999998,0.173,0.522,0.197,0.8,0.6,4
206,Glory Johnson,DAL,F,2019,28,676,206,0.112,4.5,0.982,17.3,0.247,0.272,0.581,0.029,0.943,0.481,3
207,Shenise Johnson,IND,G,2019,17,219,207,0.178,6.0,1.282,22.5,0.333,0.3,0.455,0.212,0.875,0.367,1
208,Alexis Jones,LAS,G,2019,20,243,208,0.214,0.9,0.885,19.0,0.271,0.258,0.176,0.152,0.818,0.471,4
209,Brionna Jones,CON,F,2019,27,227,209,0.48,17.7,0.382,21.0,0.893,0.093,0.686,0.0,0.0,0.013,0
210,Jonquel Jones,CON,F,2019,34,980,210,0.342,12.5,0.713,22.6,0.47200000000000003,0.169,0.638,0.014,0.977,0.36,0
211,Betnijah Laney,IND,G-F,2019,34,877,211,0.146,4.3,0.601,14.2,0.268,0.422,0.561,0.561,0.95,0.31,3
