"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Kelsey Bone","TOT","C",34,528,9,0.458,0.082,0.221,7.4,14.3,9.3,1.2,0.6,18.3,23.3,-0.8,0.5,-0.3,-0.02,2016
"Haley Peters","SAS","F",34,594,6.8,0.424,0.335,0.172,3.1,7.9,8.6,1.1,0.9,10.8,20.1,-0.9,0.4,-0.5,-0.037,2016
"Matee Ajavon","ATL","G",32,338,6.4,0.387,0.11,0.339,6.4,8.8,18.7,1.8,1.8,19.6,21.6,-0.8,0.4,-0.4,-0.049,2016
"Ruth Hamblin","DAL","C",20,130,5.8,0.299,0,0.219,7.5,13,4.9,0.8,5.2,10.2,13,-0.2,0.1,-0.2,-0.049,2016
"Zoi Dimitrakou","WAS","",2,11,-0.2,0.5,0.667,0,0,5.5,15.2,0,0,25,16.8,0,0,0,-0.056,2016
"Noelle Quinn","TOT","G",33,407,3.5,0.33,0.272,0.148,0.6,7.1,18.4,1.8,0.9,25.2,13.1,-1,0.4,-0.6,-0.059,2016
"Meighan Simmons","ATL","G",25,148,6.4,0.409,0.622,0.133,0.8,3.9,10.1,0.7,1.5,9.5,30.9,-0.3,0.1,-0.2,-0.061,2016
"Bashaara Graves","MIN","F",12,41,-1.5,0.286,0,0,9.3,5.9,6.6,0,0,30,10.8,-0.1,0,-0.1,-0.07,2016
"Aneika Henry-Morello","CON","F-C",10,50,3.1,0.395,0,0.385,9,16.8,6,1,1.6,28.3,18.3,-0.2,0.1,-0.1,-0.097,2016
"Tiffany Bias","DAL","G",10,64,7.3,0.513,0.478,0.522,1.7,4.5,16.7,1.6,0,28,26.5,-0.1,0,-0.2,-0.099,2016
"Betnijah Laney","CHI","G-F",8,42,-1.5,0.291,0.083,0.333,2.8,7,3.1,1.2,0,12.7,16.4,-0.1,0,-0.1,-0.128,2016
"Brianna Kiesel","DAL","G",14,103,-0.3,0.242,0.261,0.174,1.1,3.4,27,2.5,0,28.8,14.6,-0.4,0,-0.4,-0.154,2016
"Monica Wright","SEA","G",16,98,0.3,0.355,0.385,0.192,1.3,5.1,17.6,3.7,0.8,33.2,20.1,-0.5,0.1,-0.4,-0.156,2016
"Frida Eldebrink","SAS","",8,44,-1,0.169,0.75,0.25,2.7,4.1,25.1,1.2,0,31.1,13.5,-0.2,0,-0.2,-0.191,2016
"Whitney Knight","TOT","G",10,38,-2.4,0.2,0.733,0,3.5,8.1,7.8,2.8,4.3,11.8,20.9,-0.3,0.1,-0.2,-0.198,2016
